	OG	TSG
NF2_ENST00000403999	0.02638888888888889	0.9736111111111111
PBRM1_ENST00000296302	0.026951476793248948	0.973048523206751
PBRM1_ENST00000356770	0.026951476793248948	0.973048523206751
CASP8_ENST00000264275	0.026951476793248948	0.973048523206751
SIK1	0.03111814345991561	0.9688818565400844
LRFN1	0.03111814345991561	0.9688818565400844
TOP3B	0.03278481012658228	0.9672151898734178
ITGA7_ENST00000257880	0.03278481012658228	0.9672151898734178
DENND1A_ENST00000394219	0.03278481012658228	0.9672151898734178
MYCBPAP	0.03278481012658228	0.9672151898734178
MAN2A2	0.03278481012658228	0.9672151898734178
EPS15L1_ENST00000455140	0.03278481012658228	0.9672151898734178
PDE4A	0.03278481012658228	0.9672151898734178
PDE9A	0.03278481012658228	0.9672151898734178
TOP3B_ENST00000357179	0.03278481012658228	0.9672151898734178
TRO	0.03278481012658228	0.9672151898734178
KCNH3	0.03278481012658228	0.9672151898734178
HDAC7	0.03278481012658228	0.9672151898734178
ZFR2	0.03278481012658228	0.9672151898734178
PLD2	0.03278481012658228	0.9672151898734178
USP43	0.03278481012658228	0.9672151898734178
KRT13	0.034722222222222224	0.9652777777777779
RPS6KA3	0.034722222222222224	0.9652777777777779
KDM6A_ENST00000382899	0.034722222222222224	0.9652777777777779
LIFR_ENST00000263409	0.03528481012658228	0.9647151898734178
DMBT1_ENST00000368915	0.03528481012658228	0.9647151898734178
ZNF804B	0.03528481012658228	0.9647151898734178
ASXL1_ENST00000306058	0.03528481012658228	0.9647151898734178
GRIK2_ENST00000369138	0.03528481012658228	0.9647151898734178
BRCA1_ENST00000471181	0.03528481012658228	0.9647151898734178
MYCBP2	0.03528481012658228	0.9647151898734178
DOCK4_ENST00000437633	0.03528481012658228	0.9647151898734178
JMJD1C	0.03528481012658228	0.9647151898734178
CLEC16A	0.03528481012658228	0.9647151898734178
KIAA1804	0.03528481012658228	0.9647151898734178
ARID1B_ENST00000346085	0.03528481012658228	0.9647151898734178
PTCH1_ENST00000430669	0.03528481012658228	0.9647151898734178
NIN_ENST00000245441	0.03528481012658228	0.9647151898734178
USP28	0.03528481012658228	0.9647151898734178
MPDZ_ENST00000319217	0.03528481012658228	0.9647151898734178
GON4L_ENST00000368331	0.03528481012658228	0.9647151898734178
MAP2	0.03528481012658228	0.9647151898734178
GRM1	0.03528481012658228	0.9647151898734178
CACNA1E_ENST00000367573	0.03528481012658228	0.9647151898734178
BAT2D1_ENST00000392078	0.03528481012658228	0.9647151898734178
UNC13C_ENST00000260323	0.03528481012658228	0.9647151898734178
CNTRL_ENST00000373855	0.03528481012658228	0.9647151898734178
CENPF	0.03528481012658228	0.9647151898734178
KRT24	0.03528481012658228	0.9647151898734178
PTPRK	0.03528481012658228	0.9647151898734178
ROS1_ENST00000368507	0.03528481012658228	0.9647151898734178
SPEG	0.03528481012658228	0.9647151898734178
NCAPH	0.03528481012658228	0.9647151898734178
SHC1_ENST00000448116	0.03528481012658228	0.9647151898734178
SEMA6A	0.03528481012658228	0.9647151898734178
USP9X_ENST00000324545	0.03528481012658228	0.9647151898734178
AKAP9	0.03528481012658228	0.9647151898734178
PDS5B	0.03528481012658228	0.9647151898734178
NOTCH3_ENST00000263388	0.03528481012658228	0.9647151898734178
ZNF793_ENST00000445217	0.03528481012658228	0.9647151898734178
NIN	0.03528481012658228	0.9647151898734178
C6	0.03528481012658228	0.9647151898734178
HIVEP2	0.03528481012658228	0.9647151898734178
HIVEP1	0.03528481012658228	0.9647151898734178
TNRC6B_ENST00000454349	0.03528481012658228	0.9647151898734178
LINGO1	0.03528481012658228	0.9647151898734178
ZC3H13	0.03528481012658228	0.9647151898734178
HSPG2	0.03528481012658228	0.9647151898734178
BAT2D1	0.03528481012658228	0.9647151898734178
KALRN_ENST00000360013	0.03528481012658228	0.9647151898734178
ABCA10	0.03528481012658228	0.9647151898734178
YLPM1_ENST00000325680	0.03528481012658228	0.9647151898734178
CD163L1	0.03528481012658228	0.9647151898734178
BPTF	0.03528481012658228	0.9647151898734178
TNRC6B	0.03528481012658228	0.9647151898734178
MMP24	0.03528481012658228	0.9647151898734178
NBEAL1_ENST00000449802	0.03528481012658228	0.9647151898734178
ATAD2	0.03528481012658228	0.9647151898734178
CEP350	0.03528481012658228	0.9647151898734178
TNIK_ENST00000436636	0.03528481012658228	0.9647151898734178
SPEF2_ENST00000356031	0.03528481012658228	0.9647151898734178
STAG2_ENST00000218089	0.03528481012658228	0.9647151898734178
PPFIA2_ENST00000333447	0.03528481012658228	0.9647151898734178
DST	0.03528481012658228	0.9647151898734178
TDRD6	0.03528481012658228	0.9647151898734178
ABCA12_ENST00000389661	0.03528481012658228	0.9647151898734178
PTCH1_ENST00000331920	0.03528481012658228	0.9647151898734178
EP400_ENST00000333577	0.03528481012658228	0.9647151898734178
PCF11_ENST00000298281	0.03528481012658228	0.9647151898734178
PDE3A	0.03528481012658228	0.9647151898734178
MYH9	0.03528481012658228	0.9647151898734178
GOLGA4	0.03528481012658228	0.9647151898734178
KDM6A	0.03528481012658228	0.9647151898734178
KDM5C_ENST00000375401	0.03528481012658228	0.9647151898734178
KDM5C_ENST00000452825	0.03528481012658228	0.9647151898734178
NOTCH1	0.03528481012658228	0.9647151898734178
PRDM15	0.03528481012658228	0.9647151898734178
FSIP2_ENST00000343098	0.03528481012658228	0.9647151898734178
ZNF462	0.03528481012658228	0.9647151898734178
MLL4	0.03528481012658228	0.9647151898734178
VPS13B	0.03528481012658228	0.9647151898734178
RIMS1	0.03528481012658228	0.9647151898734178
AKAP9_ENST00000356239	0.03528481012658228	0.9647151898734178
MYST3	0.03528481012658228	0.9647151898734178
USP9X	0.03528481012658228	0.9647151898734178
CASZ1	0.03528481012658228	0.9647151898734178
KCNQ3	0.03528481012658228	0.9647151898734178
BCOR	0.03528481012658228	0.9647151898734178
NOTCH3	0.03528481012658228	0.9647151898734178
ROS1	0.03528481012658228	0.9647151898734178
MGA	0.03528481012658228	0.9647151898734178
MPDZ	0.03528481012658228	0.9647151898734178
RB1_ENST00000267163	0.03528481012658228	0.9647151898734178
NIN_ENST00000382041	0.03528481012658228	0.9647151898734178
MDGA2_ENST00000399232	0.03528481012658228	0.9647151898734178
UNC5D	0.03528481012658228	0.9647151898734178
NOTCH1_ENST00000277541	0.03528481012658228	0.9647151898734178
IGSF3	0.03528481012658228	0.9647151898734178
NIPBL_ENST00000448238	0.03528481012658228	0.9647151898734178
ZMYM3	0.03528481012658228	0.9647151898734178
FGA	0.03528481012658228	0.9647151898734178
RAPGEF6_ENST00000509018	0.03528481012658228	0.9647151898734178
ZNF521	0.03528481012658228	0.9647151898734178
FSIP2	0.03528481012658228	0.9647151898734178
VPS13B_ENST00000357162	0.03528481012658228	0.9647151898734178
EPHA3	0.03528481012658228	0.9647151898734178
IGSF1	0.03528481012658228	0.9647151898734178
NIN_ENST00000453196	0.03528481012658228	0.9647151898734178
FANCM	0.03528481012658228	0.9647151898734178
BPTF_ENST00000335221	0.03528481012658228	0.9647151898734178
SAMD15	0.03528481012658228	0.9647151898734178
SETD2_ENST00000409792	0.03528481012658228	0.9647151898734178
NCOR1_ENST00000395851	0.03528481012658228	0.9647151898734178
ATF7IP	0.03528481012658228	0.9647151898734178
SCN10A	0.03528481012658228	0.9647151898734178
MAP3K1_ENST00000399503	0.03528481012658228	0.9647151898734178
DOCK4	0.03528481012658228	0.9647151898734178
FILIP1	0.03528481012658228	0.9647151898734178
YLPM1	0.03528481012658228	0.9647151898734178
POLQ	0.03528481012658228	0.9647151898734178
